Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Year,PFTR,PHT,PAT,PFTHG,PFTAG
2012-12-30,QPR,Liverpool,0.0,3.0,A,2012,A,0.6241109530583214,2.3779193205944797,0,2
2013-01-01,Man City,Stoke,3.0,0.0,H,2013,H,1.6767425320056903,0.43580288300368764,1,0
2013-01-01,Southampton,Arsenal,1.0,1.0,D,2013,A,0.647226173541963,1.340931947703654,0,1
2013-01-01,Swansea,Aston Villa,2.0,2.0,D,2013,H,2.0412517780938835,1.3945692256118,2,1
2013-01-01,Tottenham,Reading,3.0,1.0,H,2013,H,2.062588904694168,0.8045591686221923,2,0
2013-01-01,West Brom,Fulham,1.0,2.0,A,2013,D,1.7069701280227598,1.2291876187283497,1,1
2013-01-01,West Ham,Norwich,2.0,1.0,H,2013,H,2.2972972972972974,0.7866800759861438,2,0
2013-01-01,Wigan,Man United,0.0,4.0,A,2013,A,1.1095305832147937,3.573583640630238,1,3
2013-01-02,Chelsea,QPR,0.0,1.0,A,2013,H,2.3328591749644385,0.6078891496256565,2,0
2013-01-02,Liverpool,Sunderland,3.0,0.0,H,2013,H,2.053698435277383,0.7509218907140464,2,0
2013-01-02,Newcastle,Everton,1.0,2.0,A,2013,A,0.9815078236130867,1.5241926472231535,0,1
2013-01-12,Aston Villa,Southampton,0.0,1.0,A,2013,D,1.4722617354196303,1.439266957201922,1,1
2013-01-12,Everton,Swansea,0.0,0.0,D,2013,H,1.4669274537695591,0.7218683651804672,1,0
2013-01-12,Fulham,Wigan,1.0,1.0,D,2013,D,1.692745376955903,1.4079785450888371,1,1
2013-01-12,Norwich,Newcastle,0.0,0.0,D,2013,H,1.644736842105263,0.9386523633925578,1,0
2013-01-12,QPR,Tottenham,0.0,0.0,D,2013,A,0.647226173541963,2.3153424963683094,0,2
2013-01-12,Reading,West Brom,3.0,2.0,H,2013,D,1.3086770981507825,1.5487763995977206,1,1
2013-01-12,Stoke,Chelsea,0.0,4.0,A,2013,A,0.858819345661451,1.6716951614705555,0,1
2013-01-12,Sunderland,West Ham,3.0,0.0,H,2013,H,1.1024182076813656,0.46709129511677283,1,0
2013-01-13,Arsenal,Man City,0.0,2.0,A,2013,D,1.587837837837838,1.285059783216002,1,1
2013-01-13,Man United,Liverpool,2.0,1.0,H,2013,H,2.160384068278805,1.6135881104033971,2,1
2013-01-16,Chelsea,Southampton,2.0,2.0,D,2013,H,2.624466571834993,0.822438261258241,2,0
2013-01-19,Liverpool,Norwich,5.0,0.0,H,2013,H,2.22972972972973,0.5721309643535589,2,0
2013-01-19,Man City,Fulham,2.0,0.0,H,2013,H,2.187055476529161,0.7375125712370098,2,0
2013-01-19,Newcastle,Reading,1.0,2.0,A,2013,D,1.7069701280227592,1.3856296792937757,1,1
2013-01-19,Swansea,Stoke,3.0,1.0,H,2013,H,1.1450924608819346,0.7553916638730583,1,0
2013-01-19,West Brom,Aston Villa,2.0,2.0,D,2013,H,2.3328591749644385,1.340931947703654,2,1
2013-01-19,West Ham,QPR,1.0,1.0,D,2013,H,1.934566145092461,0.8358475807352778,1,0
2013-01-19,Wigan,Sunderland,2.0,3.0,A,2013,D,1.6180654338549076,1.8303721086154883,1,1
2013-01-20,Chelsea,Arsenal,2.0,1.0,H,2013,H,1.0206258890469417,0.8939546318024361,1,0
2013-01-20,Tottenham,Man United,1.0,1.0,D,2013,D,1.2375533428165009,1.6493462956754943,1,1
2013-01-21,Southampton,Everton,0.0,0.0,D,2013,D,1.0633001422475108,1.1800201139792155,1,1
2013-01-23,Arsenal,West Ham,5.0,1.0,H,2013,H,2.5906827880512093,0.5654263046150408,2,0
2013-01-29,Aston Villa,Newcastle,1.0,2.0,A,2013,D,1.5131578947368423,1.314113308749581,1,1
2013-01-29,QPR,Man City,0.0,0.0,D,2013,A,0.43918918918918914,1.564420605654263,0,1
2013-01-29,Stoke,Wigan,2.0,2.0,D,2013,D,1.2695590327169277,1.0325175997318137,1,1
2013-01-29,Sunderland,Swansea,0.0,0.0,D,2013,D,0.8890469416785206,0.8067940552016986,0,0
2013-01-30,Arsenal,Liverpool,2.0,2.0,D,2013,H,2.2564011379800855,1.9532908704883227,2,1
2013-01-30,Everton,West Brom,2.0,1.0,H,2013,H,1.8776671408250358,0.7978545088836744,1,0
2013-01-30,Fulham,West Ham,3.0,1.0,H,2013,H,1.5433854907539117,0.7375125712370098,1,0
2013-01-30,Man United,Southampton,2.0,1.0,H,2013,H,2.8805120910384066,0.9766454352441614,2,0
2013-01-30,Norwich,Tottenham,1.0,1.0,D,2013,D,1.244665718349929,1.6538160688345065,1,1
2013-01-30,Reading,Chelsea,2.0,2.0,D,2013,A,0.940611664295875,2.5075427422058336,0,2
2013-02-02,Arsenal,Stoke,1.0,0.0,H,2013,H,1.9221194879089618,0.668231087272321,1,0
2013-02-02,Everton,Aston Villa,3.0,3.0,D,2013,H,2.4057610241820773,0.9118337244384849,2,0
2013-02-02,Fulham,Man United,0.0,1.0,A,2013,A,1.1948790896159316,2.7489104927924912,1,2
2013-02-02,Newcastle,Chelsea,3.0,2.0,H,2013,A,0.9815078236130867,2.3555704547994187,0,2
2013-02-02,QPR,Norwich,0.0,0.0,D,2013,A,0.8783783783783783,1.0012291876187283,0,1
2013-02-02,Reading,Sunderland,2.0,1.0,H,2013,D,1.4313655761024182,1.5487763995977206,1,1
2013-02-02,West Ham,Swansea,1.0,0.0,H,2013,H,1.5113798008534851,0.9341825902335457,1,0
2013-02-02,Wigan,Southampton,2.0,2.0,D,2013,A,1.6642958748221905,2.004693261816963,1,2
2013-02-03,Man City,Liverpool,2.0,2.0,D,2013,D,1.968349928876245,1.2738853503184715,1,1
2013-02-03,West Brom,Tottenham,0.0,1.0,A,2013,A,1.5931721194879092,2.0672700860431337,1,2
2013-02-09,Chelsea,Wigan,4.0,1.0,H,2013,H,2.4786628733997156,0.7509218907140464,2,0
2013-02-09,Norwich,Fulham,0.0,0.0,D,2013,H,1.333570412517781,0.9833500949826794,1,0
2013-02-09,Southampton,Man City,3.0,1.0,H,2013,A,0.8783783783783783,1.340931947703654,0,1
2013-02-09,Stoke,Reading,2.0,1.0,H,2013,H,1.4935988620199148,0.9833500949826794,1,0
