Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Year,AST,AS,HST,HS,Hg,Ag
2012-12-22,Wigan,Arsenal,0.0,1.0,A,2012,8.0,10.0,5.0,13.0,19,0
2012-12-23,Chelsea,Aston Villa,8.0,0.0,H,2012,4.0,7.0,18.0,24.0,2,1
2012-12-23,Swansea,Man United,1.0,1.0,D,2012,16.0,19.0,10.0,14.0,15,7
2012-12-26,Aston Villa,Tottenham,0.0,4.0,A,2012,16.0,20.0,1.0,4.0,1,16
2012-12-26,Everton,Wigan,2.0,1.0,H,2012,6.0,10.0,9.0,17.0,3,19
2012-12-26,Fulham,Southampton,1.0,1.0,D,2012,3.0,7.0,2.0,10.0,4,12
2012-12-26,Man United,Newcastle,4.0,3.0,H,2012,11.0,16.0,10.0,16.0,7,8
2012-12-26,Norwich,Chelsea,0.0,1.0,A,2012,11.0,20.0,4.0,8.0,9,2
2012-12-26,QPR,West Brom,1.0,2.0,A,2012,6.0,12.0,8.0,18.0,10,17
2012-12-26,Reading,Swansea,0.0,0.0,D,2012,4.0,10.0,2.0,3.0,11,15
2012-12-26,Stoke,Liverpool,3.0,1.0,H,2012,6.0,12.0,6.0,7.0,13,5
2012-12-26,Sunderland,Man City,1.0,0.0,H,2012,12.0,19.0,6.0,12.0,14,6
2012-12-29,Arsenal,Newcastle,7.0,3.0,H,2012,8.0,10.0,12.0,16.0,0,8
2012-12-29,Aston Villa,Wigan,0.0,3.0,A,2012,6.0,9.0,4.0,11.0,1,19
2012-12-29,Fulham,Swansea,1.0,2.0,A,2012,9.0,10.0,13.0,22.0,4,15
2012-12-29,Man United,West Brom,2.0,0.0,H,2012,9.0,13.0,14.0,17.0,7,17
2012-12-29,Norwich,Man City,3.0,4.0,A,2012,9.0,13.0,8.0,13.0,9,6
2012-12-29,Reading,West Ham,1.0,0.0,H,2012,3.0,11.0,2.0,3.0,11,18
2012-12-29,Stoke,Southampton,3.0,3.0,D,2012,7.0,8.0,8.0,10.0,13,12
2012-12-29,Sunderland,Tottenham,1.0,2.0,A,2012,14.0,18.0,6.0,9.0,14,16
2012-12-30,Everton,Chelsea,1.0,2.0,A,2012,10.0,15.0,6.0,12.0,3,2
2012-12-30,QPR,Liverpool,0.0,3.0,A,2012,11.0,16.0,7.0,14.0,10,5
2013-01-01,Man City,Stoke,3.0,0.0,H,2013,3.0,4.0,9.0,17.0,6,13
2013-01-01,Southampton,Arsenal,1.0,1.0,D,2013,4.0,6.0,6.0,9.0,12,0
2013-01-01,Swansea,Aston Villa,2.0,2.0,D,2013,6.0,8.0,13.0,23.0,15,1
2013-01-01,Tottenham,Reading,3.0,1.0,H,2013,4.0,7.0,20.0,30.0,16,11
2013-01-01,West Brom,Fulham,1.0,2.0,A,2013,5.0,10.0,10.0,17.0,17,4
2013-01-01,West Ham,Norwich,2.0,1.0,H,2013,3.0,9.0,8.0,14.0,18,9
2013-01-01,Wigan,Man United,0.0,4.0,A,2013,9.0,14.0,3.0,7.0,19,7
2013-01-02,Chelsea,QPR,0.0,1.0,A,2013,5.0,8.0,11.0,23.0,2,10
2013-01-02,Liverpool,Sunderland,3.0,0.0,H,2013,5.0,6.0,16.0,27.0,5,14
2013-01-02,Newcastle,Everton,1.0,2.0,A,2013,6.0,7.0,11.0,14.0,8,3
2013-01-12,Aston Villa,Southampton,0.0,1.0,A,2013,4.0,11.0,10.0,16.0,1,12
2013-01-12,Everton,Swansea,0.0,0.0,D,2013,2.0,4.0,8.0,16.0,3,15
2013-01-12,Fulham,Wigan,1.0,1.0,D,2013,6.0,15.0,5.0,14.0,4,19
2013-01-12,Norwich,Newcastle,0.0,0.0,D,2013,4.0,9.0,3.0,12.0,9,8
2013-01-12,QPR,Tottenham,0.0,0.0,D,2013,8.0,16.0,1.0,4.0,10,16
2013-01-12,Reading,West Brom,3.0,2.0,H,2013,6.0,11.0,7.0,7.0,11,17
2013-01-12,Stoke,Chelsea,0.0,4.0,A,2013,9.0,11.0,5.0,11.0,13,2
2013-01-12,Sunderland,West Ham,3.0,0.0,H,2013,4.0,9.0,14.0,18.0,14,18
2013-01-13,Arsenal,Man City,0.0,2.0,A,2013,9.0,16.0,4.0,9.0,0,6
2013-01-13,Man United,Liverpool,2.0,1.0,H,2013,5.0,12.0,10.0,15.0,7,5
2013-01-16,Chelsea,Southampton,2.0,2.0,D,2013,3.0,7.0,10.0,19.0,2,12
2013-01-19,Liverpool,Norwich,5.0,0.0,H,2013,3.0,5.0,10.0,17.0,5,9
2013-01-19,Man City,Fulham,2.0,0.0,H,2013,0.0,3.0,11.0,20.0,6,4
2013-01-19,Newcastle,Reading,1.0,2.0,A,2013,2.0,6.0,10.0,15.0,8,11
2013-01-19,Swansea,Stoke,3.0,1.0,H,2013,2.0,7.0,6.0,12.0,15,13
2013-01-19,West Brom,Aston Villa,2.0,2.0,D,2013,7.0,11.0,9.0,25.0,17,1
2013-01-19,West Ham,QPR,1.0,1.0,D,2013,6.0,9.0,13.0,22.0,18,10
2013-01-19,Wigan,Sunderland,2.0,3.0,A,2013,5.0,10.0,11.0,20.0,19,14
2013-01-20,Chelsea,Arsenal,2.0,1.0,H,2013,8.0,12.0,8.0,13.0,2,0
2013-01-20,Tottenham,Man United,1.0,1.0,D,2013,4.0,6.0,18.0,23.0,16,7
2013-01-21,Southampton,Everton,0.0,0.0,D,2013,7.0,10.0,11.0,14.0,12,3
2013-01-23,Arsenal,West Ham,5.0,1.0,H,2013,5.0,7.0,17.0,23.0,0,18
2013-01-29,Aston Villa,Newcastle,1.0,2.0,A,2013,7.0,10.0,4.0,10.0,1,8
2013-01-29,QPR,Man City,0.0,0.0,D,2013,7.0,15.0,3.0,5.0,10,6
2013-01-29,Stoke,Wigan,2.0,2.0,D,2013,6.0,11.0,4.0,9.0,13,19
2013-01-29,Sunderland,Swansea,0.0,0.0,D,2013,8.0,18.0,2.0,4.0,14,15
2013-01-30,Arsenal,Liverpool,2.0,2.0,D,2013,5.0,10.0,6.0,14.0,0,5
2013-01-30,Everton,West Brom,2.0,1.0,H,2013,4.0,7.0,4.0,11.0,3,17
2013-01-30,Fulham,West Ham,3.0,1.0,H,2013,4.0,8.0,6.0,13.0,4,18
2013-01-30,Man United,Southampton,2.0,1.0,H,2013,10.0,21.0,7.0,11.0,7,12
2013-01-30,Norwich,Tottenham,1.0,1.0,D,2013,7.0,12.0,4.0,8.0,9,16
2013-01-30,Reading,Chelsea,2.0,2.0,D,2013,5.0,14.0,2.0,5.0,11,2
2013-02-02,Arsenal,Stoke,1.0,0.0,H,2013,2.0,6.0,9.0,15.0,0,13
2013-02-02,Everton,Aston Villa,3.0,3.0,D,2013,4.0,8.0,13.0,22.0,3,1
2013-02-02,Fulham,Man United,0.0,1.0,A,2013,8.0,13.0,8.0,15.0,4,7
2013-02-02,Newcastle,Chelsea,3.0,2.0,H,2013,6.0,12.0,13.0,19.0,8,2
2013-02-02,QPR,Norwich,0.0,0.0,D,2013,9.0,14.0,7.0,15.0,10,9
2013-02-02,Reading,Sunderland,2.0,1.0,H,2013,6.0,10.0,5.0,9.0,11,14
2013-02-02,West Ham,Swansea,1.0,0.0,H,2013,7.0,11.0,9.0,18.0,18,15
2013-02-02,Wigan,Southampton,2.0,2.0,D,2013,7.0,15.0,3.0,5.0,19,12
2013-02-03,Man City,Liverpool,2.0,2.0,D,2013,12.0,21.0,5.0,9.0,6,5
2013-02-03,West Brom,Tottenham,0.0,1.0,A,2013,13.0,21.0,3.0,4.0,17,16
2013-02-09,Chelsea,Wigan,4.0,1.0,H,2013,10.0,13.0,17.0,25.0,2,19
2013-02-09,Norwich,Fulham,0.0,0.0,D,2013,5.0,7.0,8.0,15.0,9,4
2013-02-09,Southampton,Man City,3.0,1.0,H,2013,4.0,7.0,7.0,13.0,12,6
2013-02-09,Stoke,Reading,2.0,1.0,H,2013,4.0,5.0,10.0,13.0,13,11
2013-02-09,Sunderland,Arsenal,0.0,1.0,A,2013,9.0,18.0,7.0,12.0,14,0
2013-02-09,Swansea,QPR,4.0,1.0,H,2013,8.0,14.0,12.0,13.0,15,10
2013-02-09,Tottenham,Newcastle,2.0,1.0,H,2013,7.0,9.0,9.0,16.0,16,8
2013-02-10,Aston Villa,West Ham,2.0,1.0,H,2013,7.0,13.0,2.0,7.0,1,18
2013-02-10,Man United,Everton,2.0,0.0,H,2013,8.0,9.0,6.0,10.0,7,3
2013-02-11,Liverpool,West Brom,0.0,2.0,A,2013,3.0,4.0,14.0,23.0,5,17
2013-02-17,Liverpool,Swansea,5.0,0.0,H,2013,3.0,4.0,18.0,33.0,5,15
2013-02-23,Arsenal,Aston Villa,2.0,1.0,H,2013,3.0,5.0,14.0,24.0,0,1
2013-02-23,Fulham,Stoke,1.0,0.0,H,2013,2.0,7.0,9.0,20.0,4,13
2013-02-23,Norwich,Everton,2.0,1.0,H,2013,5.0,11.0,9.0,10.0,9,3
2013-02-23,QPR,Man United,0.0,2.0,A,2013,8.0,13.0,5.0,12.0,10,7
2013-02-23,Reading,Wigan,0.0,3.0,A,2013,8.0,14.0,1.0,7.0,11,19
2013-02-23,West Brom,Sunderland,2.0,1.0,H,2013,6.0,10.0,7.0,17.0,17,14
2013-02-24,Man City,Chelsea,2.0,0.0,H,2013,1.0,4.0,11.0,15.0,6,2
2013-02-24,Newcastle,Southampton,4.0,2.0,H,2013,7.0,11.0,5.0,11.0,8,12
2013-02-25,West Ham,Tottenham,2.0,3.0,A,2013,16.0,25.0,6.0,8.0,18,16
2013-03-02,Chelsea,West Brom,1.0,0.0,H,2013,4.0,8.0,19.0,25.0,2,17
2013-03-02,Everton,Reading,3.0,1.0,H,2013,6.0,12.0,12.0,18.0,3,11
2013-03-02,Man United,Norwich,4.0,0.0,H,2013,1.0,1.0,10.0,13.0,7,9
